Source,Target,Type,Id
74,13,directed,2829
19,13,directed,331
109,13,directed,1375
100,13,directed,3527
70,13,directed,2753
84,13,directed,9
79,13,directed,3142
79,13,directed,3152
70,13,directed,2983
91,13,directed,2101
108,13,directed,3265
19,13,directed,333
16,13,directed,713
16,13,directed,929
36,13,directed,551
74,13,directed,2155
108,13,directed,3555
16,13,directed,1979
108,13,directed,3469
103,13,directed,2071
103,13,directed,2475
103,13,directed,2479
31,13,directed,3673
64,13,directed,516
64,13,directed,1097
19,13,directed,334
75,13,directed,983
108,13,directed,1285
56,13,directed,2230
56,13,directed,2231
56,13,directed,2446
108,13,directed,1521
11,13,directed,3040
108,13,directed,3744
84,13,directed,341
19,13,directed,280
108,13,directed,1510
103,13,directed,1860
108,13,directed,902
28,13,directed,3790
108,13,directed,1331
108,13,directed,1353
42,13,directed,1094
74,13,directed,2338
106,13,directed,2969
106,13,directed,2977
106,13,directed,2980
103,13,directed,3551
103,13,directed,3552
103,13,directed,3558
103,13,directed,3561
103,13,directed,3563
108,13,directed,1678
75,13,directed,458
6,13,directed,1433
58,13,directed,570
1,13,directed,3353
58,13,directed,794
19,13,directed,214
108,13,directed,1177
108,13,directed,1340
108,13,directed,3264
108,13,directed,3607
108,13,directed,3768
108,13,directed,1148
108,13,directed,3218
16,13,directed,1009
46,13,directed,1567
46,13,directed,1567
108,13,directed,1317
108,13,directed,3482
108,13,directed,3770
42,13,directed,937
10,13,directed,3389
25,13,directed,2408
39,13,directed,1717
103,13,directed,1448
91,13,directed,2026
79,13,directed,3124
38,13,directed,375
40,13,directed,2781
108,13,directed,3843
79,13,directed,3227
81,13,directed,442
19,13,directed,217
50,13,directed,120
11,13,directed,3297
11,13,directed,3298
107,13,directed,821
91,13,directed,2038
103,13,directed,3642
103,13,directed,1600
43,13,directed,2599
40,13,directed,2517
109,13,directed,1439
81,13,directed,428
71,13,directed,3224
16,13,directed,1367
19,13,directed,132
75,13,directed,460
108,13,directed,3025
101,13,directed,829
81,13,directed,372
31,13,directed,3711
16,13,directed,1593
91,13,directed,2006
91,13,directed,2027
74,13,directed,2156
74,13,directed,2154
78,13,directed,2029
78,13,directed,2264
78,13,directed,2265
78,13,directed,2396
11,13,directed,3288
79,13,directed,3161
74,13,directed,2856
20,13,directed,2652
42,13,directed,617
42,13,directed,618
78,13,directed,2138
16,13,directed,688
16,13,directed,689
19,13,directed,159
19,13,directed,167
19,13,directed,172
19,13,directed,177
19,13,directed,182
19,13,directed,187
19,13,directed,193
19,13,directed,199
19,13,directed,204
19,13,directed,209
42,13,directed,552
19,13,directed,147
19,13,directed,149
103,13,directed,2150
55,13,directed,3385
55,13,directed,3335
11,13,directed,3311
40,13,directed,3679
108,13,directed,2990
16,13,directed,1891
78,13,directed,2330
31,13,directed,3678
104,13,directed,3739
38,13,directed,534
27,13,directed,301
79,13,directed,3122
75,13,directed,481
11,13,directed,3734
106,13,directed,2948
42,13,directed,938
42,13,directed,1008
42,13,directed,1123
46,13,directed,1582
46,13,directed,1582
8,13,directed,1279
103,13,directed,3669
19,13,directed,332
11,13,directed,3316
70,13,directed,2871
107,13,directed,800
65,13,directed,73
103,13,directed,1821
65,13,directed,58
16,13,directed,1672
90,13,directed,2625
108,13,directed,1112
26,13,directed,3866
108,13,directed,1146
56,13,directed,2170
74,13,directed,2159
107,13,directed,779
103,13,directed,3543
16,13,directed,1791
73,13,directed,1774
78,13,directed,2087
103,13,directed,1680
103,13,directed,1724
103,13,directed,1875
108,13,directed,3773
108,13,directed,699
64,13,directed,123
103,13,directed,2451
103,13,directed,2851
103,13,directed,2491
87,13,directed,2287
91,13,directed,2306
74,13,directed,2166
74,13,directed,2555
74,13,directed,2556
74,13,directed,2557
103,13,directed,2452
103,13,directed,2492
108,13,directed,1040
104,13,directed,3743
26,13,directed,3823
26,13,directed,3824
79,13,directed,3125
81,13,directed,389
81,13,directed,426
81,13,directed,429
81,13,directed,432
81,13,directed,437
81,13,directed,439
81,13,directed,449
81,13,directed,452
81,13,directed,489
81,13,directed,541
81,13,directed,563
81,13,directed,721
42,13,directed,523
70,13,directed,2792
74,13,directed,2250
11,13,directed,3084
11,13,directed,3725
11,13,directed,3726
103,13,directed,3070
11,13,directed,3232
108,13,directed,3483
50,13,directed,101
50,13,directed,102
50,13,directed,103
50,13,directed,104
50,13,directed,105
50,13,directed,107
50,13,directed,109
50,13,directed,110
16,13,directed,974
16,13,directed,1987
11,13,directed,3639
22,13,directed,327
74,13,directed,2185
16,13,directed,1651
64,13,directed,352
87,13,directed,2298
87,13,directed,2412
56,13,directed,2213
56,13,directed,2214
90,13,directed,2563
90,13,directed,2577
25,13,directed,2374
108,13,directed,2874
103,13,directed,1249
108,13,directed,1737
108,13,directed,2367
56,13,directed,2189
56,13,directed,2190
56,13,directed,2191
56,13,directed,2163
56,13,directed,2164
56,13,directed,2233
56,13,directed,2319
56,13,directed,2361
56,13,directed,2392
56,13,directed,2416
108,13,directed,1728
108,13,directed,1729
108,13,directed,1730
11,13,directed,3640
84,13,directed,342
84,13,directed,15
26,13,directed,3852
103,13,directed,3073
26,13,directed,3817
56,13,directed,2201
38,13,directed,410
108,13,directed,790
74,13,directed,2118
75,13,directed,1193
76,13,directed,3324
103,13,directed,3624
16,13,directed,1911
11,13,directed,3133
11,13,directed,3188
94,13,directed,1928
108,13,directed,796
101,13,directed,2133
27,13,directed,287
27,13,directed,289
108,13,directed,1134
108,13,directed,3266
19,13,directed,160
19,13,directed,165
19,13,directed,170
19,13,directed,175
19,13,directed,180
19,13,directed,188
19,13,directed,194
19,13,directed,196
19,13,directed,197
19,13,directed,202
19,13,directed,207
87,13,directed,2305
110,13,directed,1956
110,13,directed,1957
8,13,directed,1281
56,13,directed,2158
56,13,directed,2176
70,13,directed,2754
108,13,directed,1661
108,13,directed,1663
108,13,directed,1692
108,13,directed,1732
108,13,directed,1733
108,13,directed,1786
108,13,directed,1856
108,13,directed,2527
108,13,directed,2603
108,13,directed,3247
108,13,directed,3248
108,13,directed,3249
108,13,directed,3250
108,13,directed,3251
108,13,directed,3252
108,13,directed,3253
87,13,directed,2295
108,13,directed,3009
75,13,directed,461
64,13,directed,281
91,13,directed,2042
78,13,directed,2064
31,13,directed,3664
38,13,directed,479
70,13,directed,2785
74,13,directed,2782
56,13,directed,2177
102,13,directed,1417
46,13,directed,1636
109,13,directed,1420
8,13,directed,1282
16,13,directed,1401
38,13,directed,390
36,13,directed,485
103,13,directed,1461
31,13,directed,3701
11,13,directed,2974
64,13,directed,513
16,13,directed,1958
75,13,directed,1141
42,13,directed,537
39,13,directed,1745
103,13,directed,1862
78,13,directed,2090
16,13,directed,1757
42,13,directed,1271
103,13,directed,2729
16,13,directed,1901
103,13,directed,1424
103,13,directed,1421
56,13,directed,2262
64,13,directed,348
91,13,directed,2025
78,13,directed,2030
78,13,directed,2253
78,13,directed,2269
40,13,directed,1984
26,13,directed,3819
26,13,directed,3820
26,13,directed,3822
28,13,directed,3810
78,13,directed,2266
74,13,directed,2193
74,13,directed,2200
74,13,directed,2203
78,13,directed,2252
78,13,directed,2267
90,13,directed,2749
89,13,directed,1397
102,13,directed,1409
103,13,directed,1426
42,13,directed,1289
2,13,directed,1199
22,97,directed,313
108,97,directed,959
108,97,directed,1025
25,97,directed,2368
108,97,directed,2796
64,97,directed,1095
106,97,directed,2937
11,97,directed,3292
10,97,directed,3382
10,97,directed,3390
10,97,directed,3392
10,97,directed,3394
1,97,directed,3349
1,97,directed,3350
1,97,directed,3354
1,97,directed,3356
1,97,directed,3373
16,97,directed,912
38,97,directed,888
89,97,directed,1386
19,97,directed,338
103,97,directed,1705
103,97,directed,2616
108,97,directed,2510
101,97,directed,3065
101,97,directed,3214
79,97,directed,3180
103,97,directed,3036
75,97,directed,955
103,97,directed,2449
103,97,directed,2072
11,97,directed,3729
31,97,directed,3706
74,97,directed,2768
